분류,분류 상세,Samsung,Apple,LG,others
전체,전체,66,20,10,4
전체,남성,69,19,8,4
전체,여성,63,21,13,3
연령별,18~29세,44,52,3,1
연령별,30대,53,42,3,2
연령별,40대,71,16,11,2
연령별,50대,82,4,12,2
연령별,60대,79,1,14,6
연령별,70대 이상,61,2,23,14
남성/연령별,남성 18~29세,51,43,3,3
남성/연령별,남성 30대,48,45,5,2
남성/연령별,남성 40대,74,17,6,3
남성/연령별,남성 50대,83,5,11,1
남성/연령별,남성 60대,83,0,12,5
남성/연령별,남성 70대 이상,78,2,14,6
여성/연령별,여성 18~29세,36,62,2,0
여성/연령별,여성 30대,59,39,2,0
여성/연령별,여성 40대,68,14,16,2
여성/연령별,여성 50대,80,4,13,3
여성/연령별,여성 60대,77,2,17,4
여성/연령별,여성 70대 이상,45,2,31,22
