분류,분류 상세,Samsung,Apple,LG,기타/아직 모르겠음
전체,총원,64,22,2,12
성별,남성,66,20,2,12
성별,여성,62,23,2,13
연령별,18~29세,42,53,1,4
연령별,30대,54,39,1,6
연령별,40대,69,20,1,10
연령별,50대,79,8,1,12
연령별,60대,78,4,6,12
연령별,70대 이상,56,2,6,36
성/연령별,남성 18~29세,46,47,1,6
성/연령별,남성 30대,50,40,3,7
성/연령별,남성 40대,70,19,1,10
성/연령별,남성 50대,80,6,2,12
성/연령별,남성 60대,81,2,5,12
성/연령별,남성 70대 이상,68,5,4,23
성/연령별,여성 18~29세,36,60,0,4
성/연령별,여성 30대,58,39,0,3
성/연령별,여성 40대,68,21,1,10
성/연령별,여성 50대,78,10,1,11
성/연령별,여성 60대,76,6,6,12
성/연령별,여성 70대 이상,44,0,8,48
